term,description
A1C,"If you are being tested for Type 2 diabetes, your doctor gives you an A1C test. The test is also used to monitor your A1C levels."
Aortic Aneurysm,"An aneurysm is a bulge or ""ballooning"" in the wall of an artery. Arteries carry oxygen-rich blood from the heart to the rest of the body. Learn more."
Aortic Aneurysm,"An aneurysm is a bulge or ""ballooning"" in the wall of an artery. Arteries carry oxygen-rich blood from the heart to the rest of the body. Learn more."
Abdominal Pain,Stomach aches can be painful. Find out what might be the cause of your abdominal pain.
Ectopic Pregnancy,"In an ectopic, or tubal, pregnancy, a fertilized egg grows outside of the uterus. It can be dangerous for the mother. Know the symptoms to watch for."
Birth Defects,"A birth defect is a problem that happens while a baby is developing in the mother's body. 
Learn about the different types of birth defects, their treatments, and how some kinds can be prevented."
Blood,Blood has many functions in your body. Blood tests help doctors check for certain diseases and conditions. Learn about blood types and blood tests.
Abortion,An abortion is a medical procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus.
Medicines,"You may take medicines every day or only once in a while. Either way, make sure your medicines are safe and will help you get better. Learn more."
Over-the-Counter Medicines,Over-the-counter medicines differ from prescription medicines but offer the same benefits. Find out how to use them properly.
Aspergillosis,"Find out about symptoms, tests, and treatment of aspergillosis, a disease caused by a fungus."
Abscess,Abscesses are filled with pus and can occur anywhere on your body. They can be painful. Learn about types of abscesses and how they are treated.
Child Abuse,Child abuse can have many forms. It can have long lasting emotional effects. Learn about child abuse.
Elder Abuse,Seniors are vulnerable to physical or emotional abuse. Elder abuse can happen at home or in assisted living facilities or nursing homes.
Intimate Partner Violence,Intimate partner violence (IPV) is abuse that happens in a romantic relationship. It is also called domestic violence. Learn the signs and how to get help.
Safety,"You cannot remove all the safety hazards from life, but you can reduce them. Learn how to avoid many major hazards and prepare for emergencies."
Falls,We all fall down sometimes. Most of the time falls are not serious. But some falls can be dangerous. Learn  how to prevent falls.
First Aid,Accidents happen! Are you prepared? Learn about what you need in your first aid kit and how to help if someone is injured.
Wounds and Injuries,"Cuts, scratches, bruises, and lacerations are types of injuries of the skin or soft tissues. Find first aid tips and how to deal with accidents here."
Esophagus Disorders,"You esophagus is the tube that carries food and liquids from your mouth to your stomach. Esophagus problems include GERD (reflux), cancer, esophagitis, and spasms. Learn about symptoms and treatments."
Heel Injuries and Disorders,Heel problems are common and painful. What causes heel pain? Read more about causes and conditions that can result from heel problems.
Dwarfism,"A dwarf is a person of short stature - under 4' 10"" as an adult. Many conditions can cause dwarfism but Achondroplasia causes about 70 percent."
GERD,"If you have painful burning in your throat, you may have GERD (Gastroesophageal Reflux Disease). Identify symptoms and learn how to treat it."
Heartburn,Looking for heartburn remedies?  Find out more about heartburn (pyrosis) and how to relieve this type of indigestion.
Knee Injuries and Disorders,"Knee injuries and knee disorders can cause pain, swelling and stiffness. Knee problems can be affected by rheumatic diseases and cartilage damage."
Acne,Looking for ways to fight unsightly zits? Both teens and adults can get acne. Learn what causes pimples and blackheads and how to manage them.
Rosacea,Rosacea can range from redness in the face to acne and thickened skin and inflammation that may extend into the eyes. Learn what treatments can help.
Acoustic Neuroma,An acoustic neuroma is a benign tumor that grows on the cranial nerve that connects the ear to the brain. It can affect hearing and balance nerves.
HIV,"HIV (human immunodeficiency virus) attacks the body’s immune system. There is no cure but it can be treated with medicines. To know if you have HIV, get tested."
Growth Disorders,Growth disorders affect a child's development. The pituitary gland makes growth hormone. Abnormal growth can signal a gland problem or disease.
Pituitary Disorders,"Your pituitary gland makes hormones. With a pituitary disorder, you have too much or too little of one of these hormones. Learn about these disorders."
Skin Cancer,"Try ABCDE on a mole to check for signs of skin cancer: Asymmetry, Border, Color, Diameter, Elevation. Learn more on advanced detection and treatments."
Sun Exposure,"Skin cancer is the most common cancer in the U.S. Reduce your risk by staying in the shade and wearing protective clothing, sunglasses, and sunscreen all year."
Acupuncture,Are you considering acupuncture to treat pain? Find out about how this type of traditional Chinese medicine might help you.
Acute Bronchitis,"Bronchitis is an inflammation of the airways that carry air to your lungs. Learn about acute bronchitis symptoms, causes, and treatment"
Acute Flaccid Myelitis,Acute flaccid myelitis (AFM) is a rare but serious neurologic disease. It mostly affects children. Learn about its possible causes and symptoms.
Acute Lymphocytic Leukemia,Acute Lymphocytic Leukemia (ALL) or Acute Lymphoblastic Leukemia is a cancer of the white blood cells. Learn more about symptoms and treatment.
Acute Lymphocytic Leukemia,Acute Lymphocytic Leukemia (ALL) or Acute Lymphoblastic Leukemia is a cancer of the white blood cells. Learn more about symptoms and treatment.
Acute Myeloid Leukemia,Acute Myeloid Leukemia (AML) is a cancer of the white blood cells. AML usually gets worse quickly if it is not treated. Read more.
Acute Myeloid Leukemia,Acute Myeloid Leukemia (AML) is a cancer of the white blood cells. AML usually gets worse quickly if it is not treated. Read more.
Pancreatitis,Pancreatitis is inflammation of the pancreas. Pancreatitis can be acute or chronic. Learn about pancreatitis symptoms and treatment.
Respiratory Failure,Respiratory failure happens when not enough oxygen passes from your lungs to your blood. Lung diseases can cause respiratory failure. Read more.
Attention Deficit Hyperactivity Disorder,Does your child have trouble paying attention? This may be a symptom of attention deficit hyperactive disorder (often called ADHD or ADD). Read more.
Addison Disease,Your adrenal glands makes hormones. Adrenal insufficiency or Addison disease happens if the adrenal glands don't make enough hormones. Read more.
Adenoids,"Your adenoids are high up in your throat. They trap germs coming in your mouth and nose. Learn about enlarged adenoids, a common problem in children."
Adenoids,"Your adenoids are high up in your throat. They trap germs coming in your mouth and nose. Learn about enlarged adenoids, a common problem in children."
Benign Tumors,"Benign tumors may not be cancerous but do need to be removed by a doctor.
Find out more about benign tumors."
Endometriosis,"Endometriosis happens when tissue similar to the lining of the uterus grows in other places in the body. Symptoms include pain, heavy bleeding during your period and infertility. There is no cure but there are treatments for symptoms."
Viral Infections,"Viruses cause familiar infections such as the common cold, but they also cause severe illnesses. Learn more about viral infections and their symptoms."
Attention Deficit Hyperactivity Disorder,Does your child have trouble paying attention? This may be a symptom of attention deficit hyperactive disorder (often called ADHD or ADD). Read more.
Adhesions,"Abdominal surgery is the main cause of adhesions but not the only one. Learn about the signs, symptoms, and causes this type of scar tissue."
Teen Development,"Puberty differs for each teenager. Not only does it affect the body, but it also affects the mental. Find tips to help you manage teen development"
Teen Health,"Teenagers go through many changes, primarily when it comes to body image. Read on how incorporating healthy habits can help them feel their best"
Teenage Pregnancy,"Get the facts on teenage pregnancy - how common it is, prevention, and how teenage mothers can have a safe and healthy pregnancy."
Adrenal Gland Cancer,Tumors can affect adrenal glands. Most adrenal gland tumors are benign. Types of tumors include Neuroblastoma and Pheochromocytoma.
Adrenal Gland Disorders,"Adrenal gland disorders, such as Cushing's Syndrome and Addison's Disease, happen when your glands make too much or not enough hormones."
Addison Disease,Your adrenal glands makes hormones. Adrenal insufficiency or Addison disease happens if the adrenal glands don't make enough hormones. Read more.
Leukodystrophies,Leukodystrophies are rare diseases that affect the cells of the brain and are often genetic. Find more information on these progressive diseases.
Vaccines,Vaccines protect against life-threatening diseases. Follow a recommended immunization schedule to protect yourself and others at all stages of life.
Advance Directives,"Advance directives, or living wills, inform your family about your wishes if you become too ill to let them know. Find out more."
Atrial Fibrillation,Atrial fibrillation (AF or AFib) is the most common type of arrhythmia (irregular heartbeat). Read about symptoms and treatment.
Health Insurance,Health insurance helps protect you from high medical care costs. Read about different types of benefits and what is covered.
After Surgery,"Are you concerned about post-surgery side effects or after surgery care? Learn about how to care for incisions, control pain, and more."
Macular Degeneration,"Macular degeneration, or age-related macular degeneration (AMD), causes vision loss in older adults. Learn about the types and what can help."
Veterans and Military Health,"Military service members and veterans face life-threatening injuries, mental health problems and problems from exposure to environmental hazards."
Taste and Smell Disorders,Taste and smell disorders can have many causes such as colds and head injuries. Some medications can also affect taste and smell.
Older Adult Health,Older adult health deals with changes as we age. Having a healthy lifestyle helps you deal with changes in your body and mind to make the most of life.
Skin Aging,Direct sunlight on unprotected skin and lifestyle factors can affect skin aging. Find ways to revamp your skin care routine to reduce premature aging.
Phobias,A phobia is a type of anxiety disorder. There are many specific phobias. Treatment helps most people with phobias.
HIV,"HIV (human immunodeficiency virus) attacks the body’s immune system. There is no cure but it can be treated with medicines. To know if you have HIV, get tested."
HIV and Infections,Having HIV weakens your body's immune system. This can lead to serious infections that are called opportunistic infections (OIs). Read more.
HIV and Pregnancy,HIV positive and pregnant or thinking about HIV and pregnancy? Learn how with early testing and medication you can significantly lower your risk of passing HIV to your baby.
HIV in Women,"Women who have HIV are at higher risk of certain infections, cancers, and diseases. There is no cure but there are treatments and medicines to prevent HIV."
HIV Medicines,"There are several different types of HIV medicines. They do not cure HIV, but fight the infection. Learn more about these medicines."
Living with HIV,"Infection with HIV is serious, but the outlook is improving. Discover the many things you can do to help ensure you have a longer, healthier life."
Air Pollution,Did you know that air pollution can happen both inside buildings and outdoors?  Get the facts how air pollution effects your health.
