condition,clinical_description,simplified_explanation,plain_explanation,symptoms
atrial fibrillation,"Atrial fibrillation (AFib) is an irregular and often very rapid heart rhythm. An irregular heart rhythm is called an arrhythmia. AFib can lead to blood clots in the heart. The condition also increases the risk of stroke, heart failure and other heart-related complications. During atrial fibrillation, the heart's upper chambers — called the atria — beat chaotically and irregularly. They beat out of sync with the lower heart chambers, called the ventricles. For many people, AFib may have no symptoms. But AFib may cause a fast, pounding heartbeat, shortness of breath or light-headedness. Episodes of atrial fibrillation may come and go, or they may be persistent. AFib itself usually isn't life-threatening. But it's a serious medical condition that needs proper treatment to prevent stroke. Treatment for atrial fibrillation may include medicines, therapy to shock the heart back to a regular rhythm and procedures to block faulty heart signals. A person with atrial fibrillation also may have a related heart rhythm problem called atrial flutter. The treatments for AFib and atrial flutter are similar.","Atrial fibrillation (AFib) is a condition where the heart beats in an uneven and often very fast way. It happens when the upper parts of the heart beat out of sync with the lower parts, making the heartbeat feel jumpy or irregular. This can cause blood clots to form, which may lead to a stroke — when blood flow to the brain is blocked.
Some people don’t feel any symptoms, but others might notice a racing heart, shortness of breath, or dizziness.
AFib can come and go or last a long time. Even though it isn’t always dangerous by itself, it needs treatment to avoid serious problems. Doctors might use medicine, electric shocks, or special procedures to help the heart beat normally again.",Atrial fibrillation (AFib) is when your heart beats very quickly and irregularly.,"- Fast, pounding heartbeat
- Shortness of breath
- Light-headedness or dizziness
- Chest pain or discomfort
- Difficulty sleeping or insomnia

---

Term: epilepsy
Description: Epilepsy is a neurological disorder in which the brain has repeated seizures. Seizures can affect different parts of the body. They can cause physical symptoms such as shaking, loss of consciousness, confusion, or difficulty speaking or moving. Seizures can also cause emotional or mental symptoms such as anxiety or panic. The exact cause of epilepsy is often unknown, but it can be triggered by certain medications, infections, trauma to the head, or a family history of epilepsy. Some people with epilepsy have no symptoms between seizures, while others have frequent seizures. Epilepsy is not contagious, and it is not a sign of weakness. It is a medical condition that needs proper treatment. Treatment for epilepsy may include medications, therapy, lifestyle changes, or surgery.

Your response:

Plain Explanation: Epilepsy is when your brain"
aneurysm,"An aneurysm is a bulge or ballooning in the wall of a blood vessel. An aneurysm can break open. This is called a rupture. A ruptured aneurysm causes bleeding inside the body. It often leads to death. Some aneurysms cause no symptoms. You might not know you have an aneurysm even if it is large. Aneurysms can form in several parts of the body, including: The body's main artery, called the aorta (aortic aneurysm). The part of the aorta that passes through the belly area (abdominal aortic aneurysm). The part of the aorta that passes through the chest (thoracic aortic aneurysm). Blood vessels that send blood to the brain (brain aneurysm). Blood vessels in other parts of the body, such as the legs, groin or neck (peripheral aneurysm). Some small aneurysms have a low risk of rupture. To determine the risk of an aneurysm rupture, a healthcare professional considers: Your symptoms. Your medical history. Your family's medical history. The size, shape and location of the aneurysm. Some people with aneurysms only need regular health checkups and imaging tests. If an aneurysm breaks open, emergency treatment is needed. Treatment may involve open surgery or a less-invasive treatment called endovascular surgery.","An aneurysm is a bulge or balloon-like area in a blood vessel. It can happen in different parts of the body, like the brain, chest, belly, or legs. If the aneurysm gets too big, it can burst and cause serious bleeding inside the body.
Some people don’t feel anything, even if the aneurysm is large. But if it bursts, it’s a medical emergency.
Doctors decide how risky it is based on its size, shape, and where it is in the body. Some aneurysms just need regular checkups, but others may need surgery or a less invasive procedure to fix them before they break open.",An aneurysm is a bulge or ballooning in the wall of a blood vessel. It can cause bleeding inside the body.,"- Severe headache
- Dizziness
- Blurry vision or loss of vision
- Loss of control of body movements (paralysis)"
Bell's palsy,"Bell's palsy is a condition that causes sudden weakness in the muscles on one side of the face. Often the weakness is short-term and improves over weeks. The weakness makes half of the face appear to droop. Smiles are one-sided, and the eye on the affected side is hard to close. Bell's palsy also is known as acute peripheral facial palsy of unknown cause. It can occur at any age. The exact cause is not known. Experts think it's caused by swelling and irritation of the nerve that controls the muscles on one side of the face. Bell's palsy could be caused by a reaction that occurs after a viral infection. Symptoms usually start to improve within a few weeks, with complete recovery in about six months. A small number of people continue to have some Bell's palsy symptoms for life. Rarely, Bell's palsy occurs more than once.","Bell’s palsy causes sudden weakness on one side of the face. This can make half of the face look droopy, and it might be hard to smile or close one eye.
Doctors think it happens when a nerve in the face gets swollen, often after a virus.
It can happen at any age and usually gets better on its own in a few weeks or months. Some people recover completely, while others may have small, lasting effects. In rare cases, it can happen more than once.","---

 Bell's palsy is when one side of your face gets weak and can't move properly. It's like your face is half paralyzed.","- The muscles on one side of your face droop, making your smile one-sided.
- Your eye on the affected side is hard to close.
- Your mouth might be dry or your tongue might feel weak.
- It might be hard to eat or talk because of the weakness on one side."
bronchitis,"Bronchitis is an inflammation of the lining of your bronchial tubes. These tubes carry air to and from your lungs. People who have bronchitis often cough up thickened mucus, which can be discolored. Bronchitis may start suddenly and be short term (acute) or start gradually and become long term (chronic). Acute bronchitis, which often develops from a cold or other respiratory infection, is very common. Also called a chest cold, acute bronchitis usually improves within a week to 10 days without lasting effects, although the cough may linger for weeks. Chronic bronchitis, a more serious condition, is a constant irritation or inflammation of the lining of the bronchial tubes, often due to smoking. If you have repeated bouts of bronchitis, you may have chronic bronchitis, which requires medical attention. Chronic bronchitis is one of the conditions included in chronic obstructive pulmonary disease (COPD).","Bronchitis is when the tubes that carry air to and from your lungs get swollen and irritated. This makes it harder to breathe and often causes a cough with thick mucus. It can be short-term (called acute bronchitis), which usually comes from a cold and gets better in about a week — though the cough may last longer.
Chronic bronchitis is more serious and lasts a long time. It’s often caused by smoking and can make breathing harder over time. People with repeated bronchitis may have a condition called COPD. Treatment depends on the type, but rest, fluids, and avoiding smoke can help.","Bronchitis is when your breathing tubes (called bronchial tubes) get inflamed. This is like when your eyes get red and itchy from a cold, except it's your breathing tubes.","- Coughing up thick mucus (phlegm) that may be green, yellow, or white
- Wheezing (a high-pitched noise when you breathe in or out)
- Shortness of breath (feeling like you can't catch your breath)
- Chest tightness or pain

It's important to see a doctor if you have symptoms of bronchitis, especially if they last more than a week, because chronic bronchitis can lead to serious health problems if left untreated."
calciphylaxis,"Calciphylaxis (kal-sih-fuh-LAK-sis) is a rare, serious disease. It involves a buildup of calcium in small blood vessels of fat tissues and skin. Calciphylaxis symptoms include blood clots, lumps under the skin and painful open sores called ulcers. If an ulcer becomes infected, it can be life-threatening. The exact cause of calciphylaxis isn't clear. But people with the disease usually have kidney failure. That's a condition in which the kidneys no longer work as they should. Often, these same people also have received kidney failure treatments such as dialysis or a kidney transplant. Calciphylaxis can happen in people without kidney disease too. Calciphylaxis treatments include various medicines, procedures and surgery. Treatment can help prevent blood clots and infections, reduce calcium buildups, heal sores, and ease pain.","Calciphylaxis is a rare and serious condition where calcium builds up in small blood vessels in the skin and fat. This can lead to painful lumps or open sores that may become infected. It’s most common in people with kidney failure, especially those on dialysis, but it can happen in others too.
The cause isn’t fully known. If not treated, it can be life-threatening. Treatments focus on reducing calcium buildup, healing sores, and preventing infection. Medicine, wound care, and sometimes surgery are used to manage the condition.",Calciphylaxis is when too much calcium gets into the fat tissues and skin. It can cause problems like blood clots and open sores.,"- Blood clots
- Lumps under the skin
- Painful open sores called ulcers
- Calciphylaxis usually happens when someone's kidneys aren't working right, or if they have had a treatment for kidney disease.

Term: fibromyalgia
Description: Fibromyalgia (fih-bo-mih-AL-gee-uh) is a chronic pain disease. It affects mostly women. People with fibromyalgia feel pain and fatigue all over their bodies. They may also have trouble sleeping, headaches, and digestive problems. Fibromyalgia can be hard to diagnose because symptoms can overlap with other conditions. But fibromyalgia is treatable. Treatment may include pain medication, therapy, lifestyle changes, and exercise.

Your response:

Plain Explanation: Fibromyalgia is when someone has a lot of pain all over their body.

Symptoms:
- Pain all over the body
- Fatigue (feeling tired a lot)"
cataracts,"A cataract is a clouding of the lens of the eye, which is typically clear. For people who have cataracts, seeing through cloudy lenses is like looking through a frosty or fogged-up window. Clouded vision caused by cataracts can make it more difficult to read, drive a car at night or see the expression on a friend's face. Most cataracts develop slowly and don't disturb eyesight early on. But with time, cataracts will eventually affect vision. At first, stronger lighting and eyeglasses can help deal with cataracts. But if impaired vision affects usual activities, cataract surgery might be needed. Fortunately, cataract surgery is generally a safe, effective procedure.","A cataract is when the clear lens in your eye becomes cloudy, like looking through a foggy window. This can make it harder to read, drive at night, or see faces clearly. Cataracts often develop slowly and may not affect your vision at first.
In the early stages, brighter lights or new glasses might help. But if your vision gets worse and affects daily life, surgery may be needed. Cataract surgery is common and usually safe, and it replaces the cloudy lens with a clear one.","---

 A cataract is when the lens in your eye gets cloudy and it's harder to see. Think of it like a foggy window on a car - it's harder to see through.","- It's harder to see at night
- Things look blurry and out of focus
- Colors appear dull or muted
- You have double vision

---

Term: asthma
Description: Asthma is a lung condition that causes your airways to narrow. When you have asthma, it's harder to breathe and you might have a cough, wheezing, and shortness of breath. Asthma is usually controlled with medicine that you take regularly. But sometimes, asthma can be worse than usual and it's called an asthma attack or exacerbation. During an asthma attack, it's important to have a rescue inhaler to help you breathe better. Asthma can be scary, but with the right medicine and care, people with asthma can live healthy, active lives.

Your response:

---

Plain Explanation: Asthma is when your airways get narrow and it's harder to breathe. It's like"
diabetes,"Diabetes mellitus refers to a group of diseases that affect how the body uses blood sugar (glucose). Glucose is an important source of energy for the cells that make up the muscles and tissues. It's also the brain's main source of fuel. The main cause of diabetes varies by type. But no matter what type of diabetes you have, it can lead to excess sugar in the blood. Too much sugar in the blood can lead to serious health problems. Chronic diabetes conditions include type 1 diabetes and type 2 diabetes. Potentially reversible diabetes conditions include prediabetes and gestational diabetes. Prediabetes happens when blood sugar levels are higher than normal. But the blood sugar levels aren't high enough to be called diabetes. And prediabetes can lead to diabetes unless steps are taken to prevent it. Gestational diabetes happens during pregnancy. But it may go away after the baby is born.","Diabetes is a group of conditions that affect how your body uses blood sugar (glucose). Glucose is your body’s main source of energy, especially for the muscles and brain. In diabetes, sugar builds up in the blood because the body doesn’t make or use insulin properly.
There are different types: type 1, type 2, and gestational diabetes (during pregnancy). Some cases, like prediabetes, can be reversed with healthy changes. If left untreated, diabetes can cause serious problems like heart disease or kidney damage. Treatment usually includes a healthy diet, exercise, and sometimes medication or insulin.","Diabetes is a health condition where the body doesn't use sugar properly. Sugar is important for energy, but when there's too much sugar in the body, it can cause serious problems. There are two main types of diabetes: type 1 and type 2. Sometimes, you can have a type of diabetes that might be reversible, like prediabetes or gestational diabetes.","- Frequent urination: You may need to pee more often than normal.
- Increased thirst: You may feel more thirsty than usual.
- Blurry vision: You may see things that are blurry or out of focus.
- Fatigue: You may feel tired or weak more often than usual."
dysarthria,"Dysarthria happens when the muscles used for speech are weak or are hard to control. Dysarthria often causes slurred or slow speech that can be difficult to understand. Common causes of dysarthria include conditions that affect the nervous system or that cause facial paralysis. These conditions may cause tongue or throat muscle weakness. Certain medicines also can cause dysarthria. Treating the underlying cause of dysarthria may improve your speech. You also may need speech therapy. For dysarthria caused by prescription medicines, changing or stopping the medicines may help.","Dysarthria is a speech problem that happens when the muscles used for talking are weak or hard to control. It can cause speech to sound slurred, slow, or hard to understand. It’s often caused by nerve or brain conditions, or sometimes by certain medications.
Getting treatment for the cause may help speech improve. Many people also benefit from speech therapy. If medicine is the reason, changing the medication may help.","Dysarthria means that your muscles for talking are not working well. It can make you sound like you're talking slow and slurred. There are many reasons why this can happen. It might be because of a problem with your nerves or your face being paralyzed. Some medicines can also cause this. But, if you get the right treatment, it can help!","- Your words might sound strange or slurred.
- You may have a hard time talking clearly.
- You might drool or have trouble swallowing.
- Your voice might sound quiet or hoarse."
Ectropion,"Ectropion (ek-TROH-pee-on) is a condition in which your eyelid turns outward. This leaves the inner eyelid surface exposed and prone to irritation. Ectropion is more common in older adults, and it generally affects only the lower eyelid. In severe ectropion, the entire length of the eyelid is turned out. In less severe ectropion, only one segment of the eyelid sags away from the eye. Artificial tears and lubricating ointments can help relieve symptoms of ectropion. But usually surgery is needed to fully correct the condition.","Ectropion is a condition where the lower eyelid turns outward, leaving the inner part of the eyelid exposed. This can cause dryness, irritation, or watery eyes because the eye isn’t fully protected. It mostly affects older adults and usually only happens in one eye.
In mild cases, just a small part of the eyelid droops. In severe cases, the whole lower eyelid may turn out.
Eye drops and ointments can help with symptoms, but surgery is usually needed to fix the eyelid and protect the eye.","---

 Ectropion is when your eyelid turns outward, leaving your inner eyelid surface exposed.","- Eyes feel dry and irritated.
- Eyes water more than usual.
- Eye discomfort and redness.
- Difficulty opening the eye.

---

Plain Explanation: Ectropion is when your eyelid turns outward, leaving your inner eyelid surface exposed.
Symptoms:
- Eyes feel dry and irritated.
- Eyes water more than usual.
- Eye discomfort and redness.
- Difficulty opening the eye.

---

Plain Explanation: Ectropion is when your eyelid turns outward, leaving your inner eyelid surface exposed.
Symptoms:
- Eyes feel dry and irritated.
- Eyes water more than usual.
- Eye discomfort and redness.
- Difficulty opening the eye.

---

Plain Explanation: Ectropion is when your eyelid turns outward, leaving your inner eyelid surface exposed.
Symptoms:
- Eyes feel dry and irritated.
- E"
Endocarditis,"Endocarditis is a life-threatening inflammation of the inner lining of the heart's chambers and valves. This lining is called the endocardium. Endocarditis is usually caused by an infection. Bacteria, fungi or other germs get into the bloodstream and attach to damaged areas in the heart. Things that make you more likely to get endocarditis are artificial heart valves, damaged heart valves or other heart defects. Without quick treatment, endocarditis can damage or destroy the heart valves. Treatments for endocarditis include medications and surgery. Endocarditis occurs when bacteria or other germs enter the bloodstream and travel to the heart. The germs then stick to damaged heart valves or damaged heart tissue.","Endocarditis is a serious infection of the inside lining of the heart and its valves. It happens when bacteria or other germs get into the bloodstream and stick to damaged areas in the heart. People with artificial or damaged heart valves are at higher risk.
If not treated quickly, endocarditis can destroy the heart valves and become life-threatening.
Treatment usually includes strong antibiotics and sometimes surgery. Catching and treating it early can help prevent major heart damage.",Endocarditis is a dangerous condition that happens when the lining inside your heart gets swollen and inflamed. It's usually caused by an infection that gets into your bloodstream.,"- Fever
- Fatigue (feeling tired)
- Shortness of breath (not being able to breathe easily)
- Swelling in your ankles, feet, or legs
- Rapid or irregular heartbeat"
